size,depth,technology,zygosity,FN,FP,TN,TP,precision,recall,F1,Accuracy
xl,0.5,shortread,homozygous,11,0,9,4,1,0.266666666666667,0.421052631578947,0.541666666666667
xl,2,linkedread,heterozygous,12,0,0,4,1,0.25,0.4,0.25
xl,2,linkedread,homozygous,10,0,9,5,1,0.333333333333333,0.5,0.583333333333333
xl,2,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
xl,2,linkedread (pooled),homozygous,0,0,0,4,1,1,1,1
xl,2,ontlong,heterozygous,4,0,0,12,1,0.75,0.857142857142857,0.75
xl,2,ontlong,homozygous,0,0,9,15,1,1,1,1
xl,2,ontshort,heterozygous,2,0,0,14,1,0.875,0.933333333333333,0.875
xl,2,ontshort,homozygous,4,0,9,11,1,0.733333333333333,0.846153846153846,0.833333333333333
xl,2,pacbio,heterozygous,3,0,0,13,1,0.8125,0.896551724137931,0.8125
xl,2,pacbio,homozygous,0,0,9,15,1,1,1,1
xl,2,shortread,heterozygous,5,0,0,11,1,0.6875,0.814814814814815,0.6875
xl,2,shortread,homozygous,3,0,9,12,1,0.8,0.888888888888889,0.875
xl,5,linkedread,heterozygous,6,0,0,10,1,0.625,0.769230769230769,0.625
xl,5,linkedread,homozygous,3,0,9,12,1,0.8,0.888888888888889,0.875
xl,5,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
xl,5,linkedread (pooled),homozygous,0,0,0,4,1,1,1,1
xl,5,ontlong,heterozygous,0,0,0,16,1,1,1,1
xl,5,ontlong,homozygous,0,0,9,15,1,1,1,1
xl,5,ontshort,heterozygous,0,0,0,16,1,1,1,1
xl,5,ontshort,homozygous,0,0,9,15,1,1,1,1
xl,5,pacbio,heterozygous,0,0,0,16,1,1,1,1
xl,5,pacbio,homozygous,0,0,9,15,1,1,1,1
xl,5,shortread,heterozygous,1,0,0,15,1,0.9375,0.967741935483871,0.9375
xl,5,shortread,homozygous,0,0,9,15,1,1,1,1
xl,10,linkedread,heterozygous,0,0,0,16,1,1,1,1
xl,10,linkedread,homozygous,1,0,9,14,1,0.933333333333333,0.96551724137931,0.958333333333333
xl,10,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
xl,10,linkedread (pooled),homozygous,0,0,0,4,1,1,1,1
xl,10,ontlong,heterozygous,0,0,0,16,1,1,1,1
xl,10,ontlong,homozygous,0,0,9,15,1,1,1,1
xl,10,ontshort,heterozygous,0,0,0,16,1,1,1,1
xl,10,ontshort,homozygous,0,0,9,15,1,1,1,1
xl,10,pacbio,heterozygous,0,0,0,16,1,1,1,1
xl,10,pacbio,homozygous,0,0,9,15,1,1,1,1
xl,10,shortread,heterozygous,0,0,0,16,1,1,1,1
xl,10,shortread,homozygous,0,0,9,15,1,1,1,1
xl,20,linkedread,heterozygous,0,0,0,16,1,1,1,1
xl,20,linkedread,homozygous,0,0,9,15,1,1,1,1
xl,20,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
xl,20,linkedread (pooled),homozygous,0,0,0,4,1,1,1,1
xl,20,ontlong,heterozygous,0,0,0,16,1,1,1,1
xl,20,ontlong,homozygous,0,0,9,15,1,1,1,1
xl,20,ontshort,heterozygous,0,0,0,16,1,1,1,1
xl,20,ontshort,homozygous,0,0,9,15,1,1,1,1
xl,20,pacbio,heterozygous,0,0,0,16,1,1,1,1
xl,20,pacbio,homozygous,0,0,9,15,1,1,1,1
xl,20,shortread,heterozygous,0,0,0,16,1,1,1,1
xl,20,shortread,homozygous,0,0,9,15,1,1,1,1
